epoch 1, train loss 1.732, test loss 1.548, test acc 0.6257, lr 0.001
epoch 2, train loss 1.464, test loss 1.381, test acc 0.7232, lr 0.001
epoch 3, train loss 1.344, test loss 1.309, test acc 0.7645, lr 0.001
epoch 4, train loss 1.274, test loss 1.255, test acc 0.7923, lr 0.001
epoch 5, train loss 1.229, test loss 1.221, test acc 0.8131, lr 0.001
epoch 6, train loss 1.193, test loss 1.207, test acc 0.8187, lr 0.001
epoch 7, train loss 1.166, test loss 1.167, test acc 0.8418, lr 0.001
epoch 8, train loss 1.145, test loss 1.151, test acc 0.8508, lr 0.001
epoch 9, train loss 1.122, test loss 1.161, test acc 0.8438, lr 0.001
epoch 10, train loss 1.106, test loss 1.128, test acc 0.8621, lr 0.001
epoch 11, train loss 1.095, test loss 1.127, test acc 0.8618, lr 0.001
epoch 12, train loss 1.08, test loss 1.127, test acc 0.8621, lr 0.001
epoch 13, train loss 1.07, test loss 1.106, test acc 0.8759, lr 0.001
epoch 14, train loss 1.056, test loss 1.115, test acc 0.8676, lr 0.001
epoch 15, train loss 1.047, test loss 1.097, test acc 0.879, lr 0.001
epoch 16, train loss 1.038, test loss 1.114, test acc 0.8712, lr 0.001
epoch 17, train loss 1.029, test loss 1.094, test acc 0.8811, lr 0.001
epoch 18, train loss 1.023, test loss 1.089, test acc 0.8805, lr 0.001
epoch 19, train loss 1.013, test loss 1.086, test acc 0.886, lr 0.001
epoch 20, train loss 1.006, test loss 1.088, test acc 0.8869, lr 0.001
epoch 21, train loss 1.002, test loss 1.075, test acc 0.89, lr 0.001
epoch 22, train loss 0.9967, test loss 1.075, test acc 0.8919, lr 0.001
epoch 23, train loss 0.9917, test loss 1.062, test acc 0.8933, lr 0.001
epoch 24, train loss 0.984, test loss 1.072, test acc 0.8949, lr 0.001
epoch 25, train loss 0.9809, test loss 1.07, test acc 0.8943, lr 0.001
epoch 26, train loss 0.9761, test loss 1.077, test acc 0.8932, lr 0.001
epoch 27, train loss 0.9725, test loss 1.062, test acc 0.897, lr 0.001
epoch 28, train loss 0.9672, test loss 1.066, test acc 0.8996, lr 0.001
epoch 29, train loss 0.9649, test loss 1.064, test acc 0.8956, lr 0.001
epoch 30, train loss 0.9604, test loss 1.071, test acc 0.8935, lr 0.001
epoch 31, train loss 0.9579, test loss 1.071, test acc 0.8955, lr 0.001
epoch 32, train loss 0.9535, test loss 1.068, test acc 0.8937, lr 0.001
epoch 33, train loss 0.9516, test loss 1.06, test acc 0.8999, lr 0.001
epoch 34, train loss 0.9476, test loss 1.066, test acc 0.8975, lr 0.001
epoch 35, train loss 0.9454, test loss 1.063, test acc 0.8988, lr 0.001
epoch 36, train loss 0.9415, test loss 1.06, test acc 0.8987, lr 0.001
epoch 37, train loss 0.9391, test loss 1.065, test acc 0.8975, lr 0.001
epoch 38, train loss 0.9352, test loss 1.06, test acc 0.9022, lr 0.001
epoch 39, train loss 0.9345, test loss 1.059, test acc 0.9016, lr 0.001
epoch 40, train loss 0.9336, test loss 1.057, test acc 0.9031, lr 0.001
epoch 41, train loss 0.9298, test loss 1.059, test acc 0.903, lr 0.001
epoch 42, train loss 0.9275, test loss 1.059, test acc 0.9013, lr 0.001
epoch 43, train loss 0.9268, test loss 1.068, test acc 0.8971, lr 0.001
epoch 44, train loss 0.9249, test loss 1.047, test acc 0.9085, lr 0.001
epoch 45, train loss 0.9226, test loss 1.061, test acc 0.9043, lr 0.001
epoch 46, train loss 0.9207, test loss 1.05, test acc 0.9086, lr 0.001
epoch 47, train loss 0.9191, test loss 1.052, test acc 0.9057, lr 0.001
epoch 48, train loss 0.9176, test loss 1.056, test acc 0.9057, lr 0.001
epoch 49, train loss 0.9162, test loss 1.068, test acc 0.902, lr 0.001
epoch 50, train loss 0.9148, test loss 1.056, test acc 0.9054, lr 0.001
epoch 51, train loss 0.9148, test loss 1.06, test acc 0.9032, lr 0.001
epoch 52, train loss 0.914, test loss 1.054, test acc 0.9063, lr 0.001
epoch 53, train loss 0.9126, test loss 1.064, test acc 0.9006, lr 0.001
epoch 54, train loss 0.9125, test loss 1.044, test acc 0.9114, lr 0.001
epoch 55, train loss 0.9074, test loss 1.055, test acc 0.9065, lr 0.001
epoch 56, train loss 0.9064, test loss 1.062, test acc 0.9024, lr 0.001
epoch 57, train loss 0.9058, test loss 1.056, test acc 0.9073, lr 0.001
epoch 58, train loss 0.9056, test loss 1.056, test acc 0.9054, lr 0.001
epoch 59, train loss 0.9029, test loss 1.055, test acc 0.9102, lr 0.001
epoch 60, train loss 0.9033, test loss 1.056, test acc 0.9078, lr 0.001
epoch 61, train loss 0.9037, test loss 1.053, test acc 0.909, lr 0.001
epoch 62, train loss 0.9051, test loss 1.055, test acc 0.9074, lr 0.001
epoch 63, train loss 0.8999, test loss 1.051, test acc 0.908, lr 0.001
epoch 64, train loss 0.9001, test loss 1.052, test acc 0.9104, lr 0.001
epoch 65, train loss 0.9003, test loss 1.06, test acc 0.9086, lr 0.001
epoch 66, train loss 0.8885, test loss 1.042, test acc 0.9144, lr 0.0001
epoch 67, train loss 0.8841, test loss 1.037, test acc 0.9174, lr 0.0001
epoch 68, train loss 0.8823, test loss 1.036, test acc 0.9167, lr 0.0001
epoch 69, train loss 0.882, test loss 1.036, test acc 0.9157, lr 0.0001
epoch 70, train loss 0.8799, test loss 1.035, test acc 0.9183, lr 0.0001
epoch 71, train loss 0.8804, test loss 1.037, test acc 0.9145, lr 0.0001
epoch 72, train loss 0.8795, test loss 1.036, test acc 0.9168, lr 0.0001
epoch 73, train loss 0.8778, test loss 1.035, test acc 0.9177, lr 0.0001
epoch 74, train loss 0.8781, test loss 1.035, test acc 0.9171, lr 0.0001
epoch 75, train loss 0.8784, test loss 1.034, test acc 0.9184, lr 0.0001
epoch 76, train loss 0.8778, test loss 1.033, test acc 0.9182, lr 0.0001
epoch 77, train loss 0.8777, test loss 1.034, test acc 0.9195, lr 0.0001
epoch 78, train loss 0.8776, test loss 1.036, test acc 0.9179, lr 0.0001
epoch 79, train loss 0.8778, test loss 1.036, test acc 0.9181, lr 0.0001
epoch 80, train loss 0.8767, test loss 1.035, test acc 0.9175, lr 0.0001
epoch 81, train loss 0.877, test loss 1.032, test acc 0.9189, lr 0.0001
epoch 82, train loss 0.8766, test loss 1.033, test acc 0.9179, lr 0.0001
epoch 83, train loss 0.876, test loss 1.034, test acc 0.9189, lr 0.0001
epoch 84, train loss 0.8767, test loss 1.033, test acc 0.9185, lr 0.0001
epoch 85, train loss 0.8765, test loss 1.037, test acc 0.9174, lr 0.0001
epoch 86, train loss 0.8756, test loss 1.032, test acc 0.9215, lr 0.0001
epoch 87, train loss 0.8763, test loss 1.035, test acc 0.9183, lr 0.0001
epoch 88, train loss 0.8761, test loss 1.035, test acc 0.9188, lr 0.0001
epoch 89, train loss 0.8758, test loss 1.033, test acc 0.9197, lr 0.0001
epoch 90, train loss 0.8759, test loss 1.032, test acc 0.9193, lr 0.0001
epoch 91, train loss 0.8761, test loss 1.033, test acc 0.9206, lr 0.0001
epoch 92, train loss 0.8754, test loss 1.033, test acc 0.9214, lr 1e-05
epoch 93, train loss 0.8751, test loss 1.033, test acc 0.9211, lr 1e-05
epoch 94, train loss 0.875, test loss 1.033, test acc 0.9211, lr 1e-05
epoch 95, train loss 0.8751, test loss 1.033, test acc 0.9207, lr 1e-05
epoch 96, train loss 0.8753, test loss 1.033, test acc 0.9209, lr 1e-05
