epoch 1, train loss 1.726, test loss 1.515, test acc 0.6451, lr 0.001
epoch 2, train loss 1.442, test loss 1.369, test acc 0.7308, lr 0.001
epoch 3, train loss 1.326, test loss 1.289, test acc 0.7754, lr 0.001
epoch 4, train loss 1.264, test loss 1.232, test acc 0.8053, lr 0.001
epoch 5, train loss 1.22, test loss 1.22, test acc 0.8133, lr 0.001
epoch 6, train loss 1.191, test loss 1.187, test acc 0.8312, lr 0.001
epoch 7, train loss 1.159, test loss 1.169, test acc 0.8391, lr 0.001
epoch 8, train loss 1.138, test loss 1.147, test acc 0.8521, lr 0.001
epoch 9, train loss 1.12, test loss 1.155, test acc 0.8453, lr 0.001
epoch 10, train loss 1.104, test loss 1.142, test acc 0.8559, lr 0.001
epoch 11, train loss 1.089, test loss 1.125, test acc 0.865, lr 0.001
epoch 12, train loss 1.075, test loss 1.117, test acc 0.8673, lr 0.001
epoch 13, train loss 1.064, test loss 1.112, test acc 0.868, lr 0.001
epoch 14, train loss 1.053, test loss 1.104, test acc 0.8729, lr 0.001
epoch 15, train loss 1.044, test loss 1.103, test acc 0.8741, lr 0.001
epoch 16, train loss 1.036, test loss 1.086, test acc 0.882, lr 0.001
epoch 17, train loss 1.028, test loss 1.088, test acc 0.8823, lr 0.001
epoch 18, train loss 1.023, test loss 1.1, test acc 0.8794, lr 0.001
epoch 19, train loss 1.014, test loss 1.076, test acc 0.8903, lr 0.001
epoch 20, train loss 1.005, test loss 1.074, test acc 0.8912, lr 0.001
epoch 21, train loss 0.998, test loss 1.076, test acc 0.8907, lr 0.001
epoch 22, train loss 0.9939, test loss 1.076, test acc 0.89, lr 0.001
epoch 23, train loss 0.986, test loss 1.073, test acc 0.8899, lr 0.001
epoch 24, train loss 0.9857, test loss 1.071, test acc 0.8936, lr 0.001
epoch 25, train loss 0.9805, test loss 1.062, test acc 0.8951, lr 0.001
epoch 26, train loss 0.9526, test loss 1.05, test acc 0.9054, lr 0.0005
epoch 27, train loss 0.9431, test loss 1.056, test acc 0.904, lr 0.0005
epoch 28, train loss 0.9384, test loss 1.053, test acc 0.9066, lr 0.0005
epoch 29, train loss 0.9359, test loss 1.047, test acc 0.9065, lr 0.0005
epoch 30, train loss 0.9308, test loss 1.058, test acc 0.9037, lr 0.0005
