epoch 83, train loss 0.8771, test loss 1.036, test acc 0.9195, lr 1e-05
epoch 84, train loss 0.8771, test loss 1.036, test acc 0.9196, lr 1e-05
epoch 85, train loss 0.8776, test loss 1.036, test acc 0.9192, lr 1e-05
epoch 86, train loss 0.8771, test loss 1.036, test acc 0.9197, lr 1e-05
epoch 87, train loss 0.8766, test loss 1.036, test acc 0.9193, lr 1e-05
epoch 88, train loss 0.8773, test loss 1.036, test acc 0.9193, lr 1e-05
epoch 89, train loss 0.8777, test loss 1.036, test acc 0.9193, lr 1e-06
epoch 90, train loss 0.8772, test loss 1.036, test acc 0.9193, lr 1e-06
epoch 91, train loss 0.8768, test loss 1.036, test acc 0.9191, lr 1e-06
epoch 92, train loss 0.8772, test loss 1.036, test acc 0.9193, lr 1e-06
epoch 93, train loss 0.8774, test loss 1.036, test acc 0.9192, lr 1e-06
epoch 94, train loss 0.8771, test loss 1.036, test acc 0.9191, lr 1e-06
epoch 95, train loss 0.8772, test loss 1.036, test acc 0.9191, lr 1e-06
epoch 96, train loss 0.8771, test loss 1.036, test acc 0.9191, lr 1e-06
epoch 97, train loss 0.8767, test loss 1.036, test acc 0.9191, lr 1e-06
epoch 98, train loss 0.8771, test loss 1.036, test acc 0.9192, lr 1e-06
epoch 99, train loss 0.8766, test loss 1.036, test acc 0.9193, lr 1e-06
epoch 100, train loss 0.8771, test loss 1.036, test acc 0.9193, lr 1e-07
