epoch 1, train loss 1.728, test loss 1.521, test acc 0.6359
epoch 2, train loss 1.459, test loss 1.364, test acc 0.7256
epoch 3, train loss 1.34, test loss 1.31, test acc 0.7625
epoch 4, train loss 1.267, test loss 1.254, test acc 0.7957
epoch 5, train loss 1.224, test loss 1.21, test acc 0.8171
epoch 6, train loss 1.192, test loss 1.19, test acc 0.8264
epoch 7, train loss 1.166, test loss 1.178, test acc 0.8341
epoch 8, train loss 1.143, test loss 1.161, test acc 0.8401
epoch 9, train loss 1.121, test loss 1.14, test acc 0.8554
epoch 10, train loss 1.103, test loss 1.133, test acc 0.8593
epoch 11, train loss 1.091, test loss 1.123, test acc 0.8623
epoch 12, train loss 1.079, test loss 1.112, test acc 0.865
epoch 13, train loss 1.067, test loss 1.113, test acc 0.868
epoch 14, train loss 1.058, test loss 1.099, test acc 0.8766
epoch 15, train loss 1.045, test loss 1.093, test acc 0.8789
epoch 16, train loss 1.037, test loss 1.094, test acc 0.8797
epoch 17, train loss 1.03, test loss 1.083, test acc 0.8883
epoch 18, train loss 1.02, test loss 1.087, test acc 0.8795
epoch 19, train loss 1.015, test loss 1.087, test acc 0.8838
epoch 20, train loss 1.007, test loss 1.08, test acc 0.8868
epoch 21, train loss 1.002, test loss 1.074, test acc 0.8875
epoch 22, train loss 0.9961, test loss 1.062, test acc 0.8968
epoch 23, train loss 0.9915, test loss 1.07, test acc 0.8948
epoch 24, train loss 0.9836, test loss 1.06, test acc 0.8969
epoch 25, train loss 0.979, test loss 1.07, test acc 0.8954
epoch 26, train loss 0.9762, test loss 1.057, test acc 0.8975
epoch 27, train loss 0.97, test loss 1.062, test acc 0.8974
epoch 28, train loss 0.9667, test loss 1.06, test acc 0.8966
epoch 29, train loss 0.9622, test loss 1.056, test acc 0.9003
epoch 30, train loss 0.9601, test loss 1.06, test acc 0.8983
epoch 31, train loss 0.9593, test loss 1.06, test acc 0.9015
epoch 32, train loss 0.9535, test loss 1.053, test acc 0.9018
epoch 33, train loss 0.951, test loss 1.053, test acc 0.9018
epoch 34, train loss 0.9466, test loss 1.058, test acc 0.9019
epoch 35, train loss 0.9437, test loss 1.059, test acc 0.901
epoch 36, train loss 0.9428, test loss 1.057, test acc 0.9017
epoch 37, train loss 0.9378, test loss 1.045, test acc 0.9071
epoch 38, train loss 0.9368, test loss 1.057, test acc 0.8985
epoch 39, train loss 0.9329, test loss 1.056, test acc 0.9026
epoch 40, train loss 0.9305, test loss 1.052, test acc 0.9064
epoch 41, train loss 0.9307, test loss 1.057, test acc 0.9033
epoch 42, train loss 0.9292, test loss 1.059, test acc 0.9023
epoch 43, train loss 0.9262, test loss 1.054, test acc 0.9038
epoch 44, train loss 0.9259, test loss 1.055, test acc 0.9044
