epoch 1, train loss 1.733, test loss 1.526, test acc 0.6337, lr 0.001
epoch 2, train loss 1.45, test loss 1.367, test acc 0.73, lr 0.001
epoch 3, train loss 1.334, test loss 1.311, test acc 0.7683, lr 0.001
epoch 4, train loss 1.266, test loss 1.255, test acc 0.7951, lr 0.001
epoch 5, train loss 1.225, test loss 1.206, test acc 0.8219, lr 0.001
epoch 6, train loss 1.189, test loss 1.193, test acc 0.8253, lr 0.001
epoch 7, train loss 1.162, test loss 1.185, test acc 0.8323, lr 0.001
epoch 8, train loss 1.138, test loss 1.159, test acc 0.8459, lr 0.001
epoch 9, train loss 1.119, test loss 1.148, test acc 0.8534, lr 0.001
epoch 10, train loss 1.102, test loss 1.144, test acc 0.8551, lr 0.001
epoch 11, train loss 1.088, test loss 1.126, test acc 0.865, lr 0.001
epoch 12, train loss 1.076, test loss 1.12, test acc 0.8657, lr 0.001
epoch 13, train loss 1.066, test loss 1.111, test acc 0.8702, lr 0.001
epoch 14, train loss 1.054, test loss 1.101, test acc 0.8761, lr 0.001
epoch 15, train loss 1.043, test loss 1.118, test acc 0.8692, lr 0.001
epoch 16, train loss 1.034, test loss 1.099, test acc 0.8782, lr 0.001
epoch 17, train loss 1.028, test loss 1.089, test acc 0.886, lr 0.001
epoch 18, train loss 1.018, test loss 1.097, test acc 0.8807, lr 0.001
epoch 19, train loss 1.009, test loss 1.098, test acc 0.8779, lr 0.001
epoch 20, train loss 1.006, test loss 1.087, test acc 0.8833, lr 0.001
epoch 21, train loss 0.9999, test loss 1.085, test acc 0.8878, lr 0.001
epoch 22, train loss 0.9941, test loss 1.077, test acc 0.8906, lr 0.001
epoch 23, train loss 0.9905, test loss 1.072, test acc 0.8942, lr 0.001
epoch 24, train loss 0.9805, test loss 1.082, test acc 0.8856, lr 0.001
epoch 25, train loss 0.9794, test loss 1.078, test acc 0.8927, lr 0.001
epoch 26, train loss 0.9734, test loss 1.068, test acc 0.8961, lr 0.001
epoch 27, train loss 0.968, test loss 1.069, test acc 0.8962, lr 0.001
epoch 28, train loss 0.9655, test loss 1.063, test acc 0.8961, lr 0.001
epoch 29, train loss 0.9636, test loss 1.074, test acc 0.893, lr 0.001
epoch 30, train loss 0.9585, test loss 1.068, test acc 0.8971, lr 0.001
epoch 31, train loss 0.954, test loss 1.07, test acc 0.8947, lr 0.001
epoch 32, train loss 0.9519, test loss 1.067, test acc 0.8968, lr 0.001
epoch 33, train loss 0.947, test loss 1.063, test acc 0.8982, lr 0.001
epoch 34, train loss 0.9441, test loss 1.068, test acc 0.8956, lr 0.001
epoch 35, train loss 0.9404, test loss 1.069, test acc 0.8985, lr 0.001
epoch 36, train loss 0.9408, test loss 1.065, test acc 0.8987, lr 0.001
epoch 37, train loss 0.9358, test loss 1.07, test acc 0.898, lr 0.001
epoch 38, train loss 0.934, test loss 1.056, test acc 0.9055, lr 0.001
epoch 39, train loss 0.9337, test loss 1.064, test acc 0.9022, lr 0.001
epoch 40, train loss 0.9303, test loss 1.063, test acc 0.9006, lr 0.001
epoch 41, train loss 0.9269, test loss 1.057, test acc 0.9058, lr 0.001
epoch 42, train loss 0.9263, test loss 1.059, test acc 0.9048, lr 0.001
epoch 43, train loss 0.9251, test loss 1.058, test acc 0.904, lr 0.001
epoch 44, train loss 0.9235, test loss 1.059, test acc 0.9048, lr 0.001
epoch 45, train loss 0.9194, test loss 1.067, test acc 0.9004, lr 0.001
epoch 46, train loss 0.9189, test loss 1.065, test acc 0.9009, lr 0.001
epoch 47, train loss 0.9159, test loss 1.059, test acc 0.9045, lr 0.001
epoch 48, train loss 0.9157, test loss 1.055, test acc 0.9059, lr 0.001
epoch 49, train loss 0.916, test loss 1.066, test acc 0.9025, lr 0.001
epoch 50, train loss 0.9143, test loss 1.055, test acc 0.9073, lr 0.001
epoch 51, train loss 0.9119, test loss 1.065, test acc 0.904, lr 0.001
epoch 52, train loss 0.9114, test loss 1.057, test acc 0.9053, lr 0.001
epoch 53, train loss 0.9089, test loss 1.063, test acc 0.903, lr 0.001
epoch 54, train loss 0.9064, test loss 1.055, test acc 0.9081, lr 0.001
epoch 55, train loss 0.9068, test loss 1.06, test acc 0.9036, lr 0.001
epoch 56, train loss 0.9056, test loss 1.059, test acc 0.9049, lr 0.001
epoch 57, train loss 0.9061, test loss 1.06, test acc 0.9069, lr 0.001
epoch 58, train loss 0.9039, test loss 1.06, test acc 0.904, lr 0.001
epoch 59, train loss 0.903, test loss 1.053, test acc 0.9078, lr 0.001
epoch 60, train loss 0.8972, test loss 1.055, test acc 0.909, lr 0.0008
epoch 61, train loss 0.8945, test loss 1.053, test acc 0.9087, lr 0.0008
epoch 62, train loss 0.8924, test loss 1.056, test acc 0.9064, lr 0.0008
epoch 63, train loss 0.8931, test loss 1.051, test acc 0.9107, lr 0.0008
epoch 64, train loss 0.893, test loss 1.05, test acc 0.9126, lr 0.0008
epoch 65, train loss 0.8919, test loss 1.047, test acc 0.9111, lr 0.0008
epoch 66, train loss 0.8912, test loss 1.054, test acc 0.9102, lr 0.0008
epoch 67, train loss 0.8899, test loss 1.053, test acc 0.9122, lr 0.0008
epoch 68, train loss 0.8881, test loss 1.048, test acc 0.9134, lr 0.0008
epoch 69, train loss 0.8899, test loss 1.055, test acc 0.9112, lr 0.0008
epoch 70, train loss 0.8891, test loss 1.059, test acc 0.905, lr 0.0008
epoch 71, train loss 0.8866, test loss 1.051, test acc 0.9132, lr 0.0008
epoch 72, train loss 0.8875, test loss 1.059, test acc 0.9085, lr 0.0008
epoch 73, train loss 0.8864, test loss 1.054, test acc 0.9102, lr 0.0008
epoch 74, train loss 0.8866, test loss 1.054, test acc 0.9106, lr 0.0008
epoch 75, train loss 0.8862, test loss 1.051, test acc 0.9134, lr 0.0008
epoch 76, train loss 0.886, test loss 1.05, test acc 0.9117, lr 0.0008
epoch 77, train loss 0.8859, test loss 1.051, test acc 0.9121, lr 0.0008
epoch 78, train loss 0.8866, test loss 1.053, test acc 0.9119, lr 0.0008
epoch 79, train loss 0.8846, test loss 1.052, test acc 0.9122, lr 0.0008
epoch 80, train loss 0.8856, test loss 1.046, test acc 0.9162, lr 0.0008
epoch 81, train loss 0.8843, test loss 1.053, test acc 0.9126, lr 0.0008
epoch 82, train loss 0.8837, test loss 1.052, test acc 0.9136, lr 0.0008
epoch 83, train loss 0.8822, test loss 1.058, test acc 0.909, lr 0.0008
epoch 84, train loss 0.8831, test loss 1.051, test acc 0.9126, lr 0.0008
epoch 85, train loss 0.8826, test loss 1.042, test acc 0.9151, lr 0.0008
epoch 86, train loss 0.8824, test loss 1.046, test acc 0.9137, lr 0.0008
epoch 87, train loss 0.8834, test loss 1.049, test acc 0.9131, lr 0.0008
epoch 88, train loss 0.8836, test loss 1.055, test acc 0.9102, lr 0.0008
epoch 89, train loss 0.8824, test loss 1.047, test acc 0.9119, lr 0.0008
epoch 90, train loss 0.8818, test loss 1.052, test acc 0.9123, lr 0.0008
