epoch 1, train loss 1.723, test loss 1.513, test acc 0.6457, lr 0.001
epoch 2, train loss 1.446, test loss 1.356, test acc 0.7325, lr 0.001
epoch 3, train loss 1.334, test loss 1.288, test acc 0.7718, lr 0.001
epoch 4, train loss 1.267, test loss 1.23, test acc 0.81, lr 0.001
epoch 5, train loss 1.222, test loss 1.214, test acc 0.8162, lr 0.001
epoch 6, train loss 1.19, test loss 1.184, test acc 0.8314, lr 0.001
epoch 7, train loss 1.163, test loss 1.169, test acc 0.8372, lr 0.001
epoch 8, train loss 1.14, test loss 1.176, test acc 0.8374, lr 0.001
epoch 9, train loss 1.121, test loss 1.147, test acc 0.8536, lr 0.001
epoch 10, train loss 1.107, test loss 1.132, test acc 0.8602, lr 0.001
epoch 11, train loss 1.092, test loss 1.123, test acc 0.8658, lr 0.001
epoch 12, train loss 1.079, test loss 1.112, test acc 0.8708, lr 0.001
epoch 13, train loss 1.066, test loss 1.104, test acc 0.87, lr 0.001
epoch 14, train loss 1.055, test loss 1.103, test acc 0.8731, lr 0.001
epoch 15, train loss 1.046, test loss 1.096, test acc 0.877, lr 0.001
epoch 16, train loss 1.036, test loss 1.094, test acc 0.8806, lr 0.001
epoch 17, train loss 1.027, test loss 1.096, test acc 0.8777, lr 0.001
epoch 18, train loss 1.021, test loss 1.099, test acc 0.8775, lr 0.001
epoch 19, train loss 1.013, test loss 1.086, test acc 0.882, lr 0.001
epoch 20, train loss 1.004, test loss 1.086, test acc 0.884, lr 0.001
epoch 21, train loss 0.9987, test loss 1.071, test acc 0.8936, lr 0.001
epoch 22, train loss 0.9966, test loss 1.076, test acc 0.8887, lr 0.001
epoch 23, train loss 0.9889, test loss 1.063, test acc 0.8972, lr 0.001
epoch 24, train loss 0.9818, test loss 1.068, test acc 0.8937, lr 0.001
epoch 25, train loss 0.9791, test loss 1.071, test acc 0.8956, lr 0.001
epoch 26, train loss 0.9735, test loss 1.076, test acc 0.8941, lr 0.001
epoch 27, train loss 0.9689, test loss 1.072, test acc 0.8945, lr 0.001
epoch 28, train loss 0.9666, test loss 1.067, test acc 0.8941, lr 0.001
epoch 29, train loss 0.9597, test loss 1.063, test acc 0.8995, lr 0.001
epoch 30, train loss 0.9598, test loss 1.059, test acc 0.9012, lr 0.001
epoch 31, train loss 0.9558, test loss 1.059, test acc 0.8972, lr 0.001
epoch 32, train loss 0.952, test loss 1.068, test acc 0.8958, lr 0.001
epoch 33, train loss 0.9299, test loss 1.049, test acc 0.9079, lr 0.0005
epoch 34, train loss 0.9212, test loss 1.046, test acc 0.9097, lr 0.0005
epoch 35, train loss 0.9186, test loss 1.044, test acc 0.9117, lr 0.0005
epoch 36, train loss 0.914, test loss 1.051, test acc 0.9094, lr 0.0005
epoch 37, train loss 0.9129, test loss 1.05, test acc 0.9081, lr 0.0005
epoch 38, train loss 0.9107, test loss 1.053, test acc 0.9079, lr 0.0005
epoch 39, train loss 0.9111, test loss 1.046, test acc 0.9117, lr 0.0005
epoch 40, train loss 0.9084, test loss 1.053, test acc 0.9087, lr 0.0005
epoch 41, train loss 0.9072, test loss 1.049, test acc 0.9098, lr 0.0005
epoch 42, train loss 0.9067, test loss 1.045, test acc 0.9111, lr 0.0005
epoch 43, train loss 0.905, test loss 1.051, test acc 0.9103, lr 0.0005
epoch 44, train loss 0.9039, test loss 1.049, test acc 0.9074, lr 0.0005
epoch 45, train loss 0.8954, test loss 1.039, test acc 0.9157, lr 0.00025
epoch 46, train loss 0.8933, test loss 1.043, test acc 0.9147, lr 0.00025
epoch 47, train loss 0.8918, test loss 1.043, test acc 0.9143, lr 0.00025
epoch 48, train loss 0.8911, test loss 1.045, test acc 0.9157, lr 0.00025
epoch 49, train loss 0.89, test loss 1.041, test acc 0.9147, lr 0.00025
epoch 50, train loss 0.8898, test loss 1.038, test acc 0.9167, lr 0.00025
epoch 51, train loss 0.8886, test loss 1.042, test acc 0.9144, lr 0.00025
epoch 52, train loss 0.8886, test loss 1.042, test acc 0.9162, lr 0.00025
epoch 53, train loss 0.8873, test loss 1.04, test acc 0.9176, lr 0.00025
epoch 54, train loss 0.8875, test loss 1.041, test acc 0.9166, lr 0.00025
epoch 55, train loss 0.8873, test loss 1.037, test acc 0.9167, lr 0.00025
epoch 56, train loss 0.8851, test loss 1.037, test acc 0.9187, lr 0.00025
epoch 57, train loss 0.8862, test loss 1.046, test acc 0.9135, lr 0.00025
epoch 58, train loss 0.8856, test loss 1.04, test acc 0.9159, lr 0.00025
epoch 59, train loss 0.8846, test loss 1.045, test acc 0.9159, lr 0.00025
epoch 60, train loss 0.8851, test loss 1.045, test acc 0.9143, lr 0.00025
epoch 61, train loss 0.8846, test loss 1.04, test acc 0.917, lr 0.00025
epoch 62, train loss 0.8838, test loss 1.041, test acc 0.919, lr 0.00025
epoch 63, train loss 0.8828, test loss 1.044, test acc 0.9153, lr 0.00025
epoch 64, train loss 0.8838, test loss 1.042, test acc 0.9186, lr 0.00025
epoch 65, train loss 0.8815, test loss 1.042, test acc 0.9166, lr 0.000125
epoch 66, train loss 0.8805, test loss 1.042, test acc 0.9169, lr 0.000125
epoch 67, train loss 0.8798, test loss 1.042, test acc 0.9184, lr 0.000125
epoch 68, train loss 0.8797, test loss 1.039, test acc 0.9188, lr 0.000125
epoch 69, train loss 0.8793, test loss 1.039, test acc 0.9195, lr 0.000125
epoch 70, train loss 0.8793, test loss 1.041, test acc 0.9183, lr 0.000125
epoch 71, train loss 0.8791, test loss 1.041, test acc 0.9175, lr 0.000125
epoch 72, train loss 0.8786, test loss 1.04, test acc 0.9185, lr 0.000125
epoch 73, train loss 0.8784, test loss 1.042, test acc 0.9173, lr 0.000125
