epoch 1, train loss 1.722, test loss 1.528, test acc 0.6325, lr 0.001
epoch 2, train loss 1.442, test loss 1.4, test acc 0.7077, lr 0.001
epoch 3, train loss 1.335, test loss 1.278, test acc 0.7777, lr 0.001
epoch 4, train loss 1.275, test loss 1.256, test acc 0.7915, lr 0.001
epoch 5, train loss 1.226, test loss 1.223, test acc 0.8081, lr 0.001
epoch 6, train loss 1.195, test loss 1.202, test acc 0.8188, lr 0.001
epoch 7, train loss 1.167, test loss 1.171, test acc 0.8384, lr 0.001
epoch 8, train loss 1.143, test loss 1.155, test acc 0.8496, lr 0.001
epoch 9, train loss 1.123, test loss 1.143, test acc 0.8511, lr 0.001
epoch 10, train loss 1.106, test loss 1.128, test acc 0.8632, lr 0.001
epoch 11, train loss 1.091, test loss 1.125, test acc 0.8609, lr 0.001
epoch 12, train loss 1.079, test loss 1.117, test acc 0.8641, lr 0.001
epoch 13, train loss 1.069, test loss 1.109, test acc 0.8721, lr 0.001
epoch 14, train loss 1.056, test loss 1.103, test acc 0.8729, lr 0.001
epoch 15, train loss 1.046, test loss 1.094, test acc 0.8804, lr 0.001
epoch 16, train loss 1.037, test loss 1.098, test acc 0.8791, lr 0.001
epoch 17, train loss 1.03, test loss 1.079, test acc 0.8875, lr 0.001
epoch 18, train loss 1.019, test loss 1.084, test acc 0.8864, lr 0.001
epoch 19, train loss 1.014, test loss 1.074, test acc 0.888, lr 0.001
epoch 20, train loss 1.009, test loss 1.078, test acc 0.8879, lr 0.001
epoch 21, train loss 1.002, test loss 1.072, test acc 0.892, lr 0.001
epoch 22, train loss 0.9948, test loss 1.073, test acc 0.8932, lr 0.001
epoch 23, train loss 0.9887, test loss 1.071, test acc 0.8938, lr 0.001
epoch 24, train loss 0.9846, test loss 1.059, test acc 0.8974, lr 0.001
epoch 25, train loss 0.98, test loss 1.059, test acc 0.9009, lr 0.001
epoch 26, train loss 0.9764, test loss 1.066, test acc 0.8972, lr 0.001
epoch 27, train loss 0.9727, test loss 1.068, test acc 0.8946, lr 0.001
epoch 28, train loss 0.9663, test loss 1.053, test acc 0.9027, lr 0.001
epoch 29, train loss 0.9632, test loss 1.058, test acc 0.9028, lr 0.001
epoch 30, train loss 0.9605, test loss 1.058, test acc 0.9002, lr 0.001
epoch 31, train loss 0.9557, test loss 1.063, test acc 0.8979, lr 0.001
epoch 32, train loss 0.9541, test loss 1.055, test acc 0.9035, lr 0.001
epoch 33, train loss 0.9499, test loss 1.058, test acc 0.9008, lr 0.001
epoch 34, train loss 0.9479, test loss 1.062, test acc 0.8992, lr 0.001
epoch 35, train loss 0.9454, test loss 1.056, test acc 0.9033, lr 0.001
epoch 36, train loss 0.9423, test loss 1.062, test acc 0.9023, lr 0.001
epoch 37, train loss 0.9368, test loss 1.062, test acc 0.898, lr 0.001
epoch 38, train loss 0.9351, test loss 1.049, test acc 0.9068, lr 0.001
epoch 39, train loss 0.934, test loss 1.057, test acc 0.9028, lr 0.001
epoch 40, train loss 0.9304, test loss 1.055, test acc 0.9045, lr 0.001
epoch 41, train loss 0.9289, test loss 1.051, test acc 0.9081, lr 0.001
epoch 42, train loss 0.9281, test loss 1.051, test acc 0.9071, lr 0.001
epoch 43, train loss 0.9254, test loss 1.05, test acc 0.909, lr 0.001
epoch 44, train loss 0.9242, test loss 1.056, test acc 0.9058, lr 0.001
epoch 45, train loss 0.9226, test loss 1.045, test acc 0.9096, lr 0.001
epoch 46, train loss 0.9202, test loss 1.06, test acc 0.903, lr 0.001
epoch 47, train loss 0.9189, test loss 1.049, test acc 0.9086, lr 0.001
epoch 48, train loss 0.9156, test loss 1.047, test acc 0.908, lr 0.001
epoch 49, train loss 0.9166, test loss 1.052, test acc 0.9065, lr 0.001
epoch 50, train loss 0.9131, test loss 1.05, test acc 0.9084, lr 0.001
epoch 51, train loss 0.9131, test loss 1.044, test acc 0.9096, lr 0.001
epoch 52, train loss 0.9099, test loss 1.049, test acc 0.9092, lr 0.001
epoch 53, train loss 0.9095, test loss 1.048, test acc 0.9099, lr 0.001
epoch 54, train loss 0.9101, test loss 1.048, test acc 0.9099, lr 0.001
epoch 55, train loss 0.9072, test loss 1.048, test acc 0.9093, lr 0.001
epoch 56, train loss 0.9059, test loss 1.052, test acc 0.907, lr 0.001
epoch 57, train loss 0.9047, test loss 1.051, test acc 0.9086, lr 0.001
epoch 58, train loss 0.9022, test loss 1.053, test acc 0.9073, lr 0.001
epoch 59, train loss 0.9054, test loss 1.049, test acc 0.9113, lr 0.001
epoch 60, train loss 0.8911, test loss 1.039, test acc 0.9138, lr 0.0005
epoch 61, train loss 0.8877, test loss 1.032, test acc 0.9182, lr 0.0005
epoch 62, train loss 0.8871, test loss 1.036, test acc 0.9163, lr 0.0005
epoch 63, train loss 0.8852, test loss 1.033, test acc 0.9188, lr 0.0005
epoch 64, train loss 0.883, test loss 1.034, test acc 0.9201, lr 0.0005
epoch 65, train loss 0.8834, test loss 1.033, test acc 0.918, lr 0.0005
epoch 66, train loss 0.883, test loss 1.037, test acc 0.9182, lr 0.0005
