epoch 1, train loss 1.73, test loss 1.511, test acc 0.6414, lr 0.001
epoch 2, train loss 1.443, test loss 1.37, test acc 0.7293, lr 0.001
epoch 3, train loss 1.331, test loss 1.306, test acc 0.7678, lr 0.001
epoch 4, train loss 1.269, test loss 1.249, test acc 0.7996, lr 0.001
epoch 5, train loss 1.222, test loss 1.23, test acc 0.8088, lr 0.001
epoch 6, train loss 1.188, test loss 1.189, test acc 0.8295, lr 0.001
epoch 7, train loss 1.163, test loss 1.173, test acc 0.8353, lr 0.001
epoch 8, train loss 1.144, test loss 1.166, test acc 0.842, lr 0.001
epoch 9, train loss 1.125, test loss 1.136, test acc 0.8569, lr 0.001
epoch 10, train loss 1.107, test loss 1.137, test acc 0.8582, lr 0.001
epoch 11, train loss 1.095, test loss 1.129, test acc 0.8605, lr 0.001
epoch 12, train loss 1.08, test loss 1.13, test acc 0.8574, lr 0.001
epoch 13, train loss 1.069, test loss 1.113, test acc 0.8674, lr 0.001
epoch 14, train loss 1.059, test loss 1.105, test acc 0.8719, lr 0.001
epoch 15, train loss 1.048, test loss 1.104, test acc 0.876, lr 0.001
epoch 16, train loss 1.039, test loss 1.097, test acc 0.8774, lr 0.001
epoch 17, train loss 1.032, test loss 1.096, test acc 0.8788, lr 0.001
epoch 18, train loss 1.024, test loss 1.089, test acc 0.8816, lr 0.001
epoch 19, train loss 1.016, test loss 1.086, test acc 0.8846, lr 0.001
epoch 20, train loss 1.013, test loss 1.082, test acc 0.8867, lr 0.001
epoch 21, train loss 1.006, test loss 1.076, test acc 0.8855, lr 0.001
epoch 22, train loss 0.9982, test loss 1.082, test acc 0.8859, lr 0.001
epoch 23, train loss 0.9913, test loss 1.077, test acc 0.8868, lr 0.001
epoch 24, train loss 0.9841, test loss 1.069, test acc 0.895, lr 0.001
epoch 25, train loss 0.9821, test loss 1.067, test acc 0.8962, lr 0.001
epoch 26, train loss 0.9798, test loss 1.081, test acc 0.8877, lr 0.001
epoch 27, train loss 0.9732, test loss 1.062, test acc 0.8995, lr 0.001
epoch 28, train loss 0.9678, test loss 1.073, test acc 0.8934, lr 0.001
epoch 29, train loss 0.9654, test loss 1.068, test acc 0.8935, lr 0.001
epoch 30, train loss 0.9604, test loss 1.061, test acc 0.9027, lr 0.001
epoch 31, train loss 0.9556, test loss 1.066, test acc 0.8992, lr 0.001
epoch 32, train loss 0.9568, test loss 1.081, test acc 0.888, lr 0.001
epoch 33, train loss 0.951, test loss 1.069, test acc 0.8961, lr 0.001
epoch 34, train loss 0.9494, test loss 1.065, test acc 0.8984, lr 0.001
epoch 35, train loss 0.9442, test loss 1.068, test acc 0.8964, lr 0.001
epoch 36, train loss 0.9439, test loss 1.07, test acc 0.8955, lr 0.001
epoch 37, train loss 0.9412, test loss 1.06, test acc 0.8998, lr 0.001
epoch 38, train loss 0.9358, test loss 1.059, test acc 0.9022, lr 0.001
epoch 39, train loss 0.9319, test loss 1.058, test acc 0.9065, lr 0.001
epoch 40, train loss 0.933, test loss 1.062, test acc 0.903, lr 0.001
epoch 41, train loss 0.9298, test loss 1.059, test acc 0.9047, lr 0.001
epoch 42, train loss 0.9256, test loss 1.057, test acc 0.9033, lr 0.001
epoch 43, train loss 0.9269, test loss 1.06, test acc 0.9028, lr 0.001
epoch 44, train loss 0.9254, test loss 1.051, test acc 0.9051, lr 0.001
epoch 45, train loss 0.9227, test loss 1.056, test acc 0.9049, lr 0.001
epoch 46, train loss 0.9207, test loss 1.06, test acc 0.9041, lr 0.001
epoch 47, train loss 0.9167, test loss 1.062, test acc 0.9017, lr 0.001
epoch 48, train loss 0.92, test loss 1.055, test acc 0.9071, lr 0.001
epoch 49, train loss 0.9181, test loss 1.062, test acc 0.9019, lr 0.001
epoch 50, train loss 0.9131, test loss 1.061, test acc 0.9038, lr 0.001
epoch 51, train loss 0.9137, test loss 1.049, test acc 0.9095, lr 0.001
epoch 52, train loss 0.9128, test loss 1.056, test acc 0.905, lr 0.001
epoch 53, train loss 0.91, test loss 1.06, test acc 0.9025, lr 0.001
epoch 54, train loss 0.9112, test loss 1.063, test acc 0.9023, lr 0.001
epoch 55, train loss 0.9103, test loss 1.052, test acc 0.9085, lr 0.001
epoch 56, train loss 0.9067, test loss 1.054, test acc 0.9066, lr 0.001
epoch 57, train loss 0.9052, test loss 1.051, test acc 0.9061, lr 0.001
epoch 58, train loss 0.9055, test loss 1.054, test acc 0.9067, lr 0.001
epoch 59, train loss 0.9044, test loss 1.052, test acc 0.9072, lr 0.001
