epoch 102, train loss 0.8827, test loss 1.045, test acc 0.9149
epoch 103, train loss 0.8804, test loss 1.051, test acc 0.9112
epoch 104, train loss 0.8823, test loss 1.043, test acc 0.9162
epoch 105, train loss 0.8819, test loss 1.052, test acc 0.9105
epoch 106, train loss 0.8811, test loss 1.049, test acc 0.9127
epoch 107, train loss 0.8815, test loss 1.048, test acc 0.9118
epoch 108, train loss 0.881, test loss 1.05, test acc 0.9132
epoch 109, train loss 0.8805, test loss 1.045, test acc 0.9154
epoch 110, train loss 0.8786, test loss 1.052, test acc 0.913
epoch 111, train loss 0.8788, test loss 1.049, test acc 0.9139
epoch 112, train loss 0.8795, test loss 1.058, test acc 0.9108
epoch 113, train loss 0.8789, test loss 1.048, test acc 0.9134
epoch 114, train loss 0.8797, test loss 1.049, test acc 0.9149
epoch 115, train loss 0.8801, test loss 1.052, test acc 0.9113
epoch 116, train loss 0.8795, test loss 1.05, test acc 0.9142
epoch 117, train loss 0.8798, test loss 1.046, test acc 0.9144
epoch 118, train loss 0.8786, test loss 1.054, test acc 0.9107
epoch 119, train loss 0.8791, test loss 1.045, test acc 0.9119
epoch 120, train loss 0.8809, test loss 1.048, test acc 0.9146
epoch 121, train loss 0.8796, test loss 1.051, test acc 0.9124
epoch 122, train loss 0.8777, test loss 1.051, test acc 0.9112
epoch 123, train loss 0.8776, test loss 1.051, test acc 0.9135
epoch 124, train loss 0.8782, test loss 1.043, test acc 0.9165
epoch 125, train loss 0.8793, test loss 1.043, test acc 0.9148
epoch 126, train loss 0.8771, test loss 1.044, test acc 0.9147
epoch 127, train loss 0.8785, test loss 1.045, test acc 0.9138
epoch 128, train loss 0.8775, test loss 1.045, test acc 0.9152
epoch 129, train loss 0.8772, test loss 1.045, test acc 0.9158
epoch 130, train loss 0.8783, test loss 1.046, test acc 0.9154
epoch 131, train loss 0.8785, test loss 1.048, test acc 0.914
epoch 132, train loss 0.8778, test loss 1.041, test acc 0.9193
epoch 133, train loss 0.8772, test loss 1.047, test acc 0.9149
epoch 134, train loss 0.877, test loss 1.046, test acc 0.914
epoch 135, train loss 0.8768, test loss 1.053, test acc 0.913
epoch 136, train loss 0.8774, test loss 1.047, test acc 0.9136
epoch 137, train loss 0.8783, test loss 1.047, test acc 0.9151
epoch 138, train loss 0.8781, test loss 1.041, test acc 0.9167
epoch 139, train loss 0.8767, test loss 1.041, test acc 0.9182
epoch 140, train loss 0.8766, test loss 1.043, test acc 0.9156
epoch 141, train loss 0.8769, test loss 1.046, test acc 0.9163
epoch 142, train loss 0.8771, test loss 1.053, test acc 0.9116
epoch 143, train loss 0.8771, test loss 1.047, test acc 0.9165
epoch 144, train loss 0.8767, test loss 1.054, test acc 0.9125
epoch 145, train loss 0.8762, test loss 1.048, test acc 0.9136
epoch 146, train loss 0.8761, test loss 1.048, test acc 0.9144
epoch 147, train loss 0.8765, test loss 1.045, test acc 0.9164
epoch 148, train loss 0.8763, test loss 1.048, test acc 0.9156
epoch 149, train loss 0.8761, test loss 1.043, test acc 0.9162
epoch 150, train loss 0.8764, test loss 1.042, test acc 0.9173
epoch 151, train loss 0.8762, test loss 1.047, test acc 0.9142
epoch 152, train loss 0.8749, test loss 1.044, test acc 0.9148
epoch 153, train loss 0.8765, test loss 1.044, test acc 0.9148
epoch 154, train loss 0.8764, test loss 1.045, test acc 0.9149
epoch 155, train loss 0.8748, test loss 1.04, test acc 0.9189
epoch 156, train loss 0.876, test loss 1.042, test acc 0.9164
epoch 157, train loss 0.8756, test loss 1.037, test acc 0.9182
epoch 158, train loss 0.8755, test loss 1.043, test acc 0.9177
epoch 159, train loss 0.875, test loss 1.042, test acc 0.9151
epoch 160, train loss 0.8758, test loss 1.045, test acc 0.9149
epoch 161, train loss 0.8751, test loss 1.044, test acc 0.9142
epoch 162, train loss 0.8749, test loss 1.045, test acc 0.9169
epoch 163, train loss 0.875, test loss 1.039, test acc 0.9201
epoch 164, train loss 0.8738, test loss 1.039, test acc 0.9199
epoch 165, train loss 0.8739, test loss 1.04, test acc 0.9169
epoch 166, train loss 0.8747, test loss 1.045, test acc 0.9164
epoch 167, train loss 0.8736, test loss 1.045, test acc 0.9179
epoch 168, train loss 0.8739, test loss 1.044, test acc 0.9169
epoch 169, train loss 0.8753, test loss 1.045, test acc 0.9183
epoch 170, train loss 0.875, test loss 1.053, test acc 0.9139
epoch 171, train loss 0.875, test loss 1.045, test acc 0.9155
epoch 172, train loss 0.874, test loss 1.046, test acc 0.9173
epoch 173, train loss 0.8741, test loss 1.046, test acc 0.9139
epoch 174, train loss 0.8742, test loss 1.05, test acc 0.916
epoch 175, train loss 0.8739, test loss 1.043, test acc 0.9178
epoch 176, train loss 0.8744, test loss 1.044, test acc 0.9183
epoch 177, train loss 0.8747, test loss 1.04, test acc 0.9189
epoch 178, train loss 0.8746, test loss 1.045, test acc 0.9171
epoch 179, train loss 0.8738, test loss 1.047, test acc 0.9168
epoch 180, train loss 0.8749, test loss 1.049, test acc 0.9153
epoch 181, train loss 0.8742, test loss 1.044, test acc 0.9178
epoch 182, train loss 0.8741, test loss 1.046, test acc 0.9158
epoch 183, train loss 0.8744, test loss 1.041, test acc 0.9191
epoch 184, train loss 0.8739, test loss 1.044, test acc 0.9196
epoch 185, train loss 0.8746, test loss 1.038, test acc 0.9206
epoch 186, train loss 0.8741, test loss 1.049, test acc 0.9141
epoch 187, train loss 0.8739, test loss 1.046, test acc 0.9167
epoch 188, train loss 0.8732, test loss 1.043, test acc 0.9156
epoch 189, train loss 0.8735, test loss 1.047, test acc 0.9168
epoch 190, train loss 0.8739, test loss 1.049, test acc 0.9143
epoch 191, train loss 0.8738, test loss 1.043, test acc 0.9182
epoch 192, train loss 0.8743, test loss 1.048, test acc 0.9142
epoch 193, train loss 0.8742, test loss 1.05, test acc 0.9172
epoch 194, train loss 0.8733, test loss 1.044, test acc 0.9181
epoch 195, train loss 0.8735, test loss 1.046, test acc 0.9166
epoch 196, train loss 0.8731, test loss 1.05, test acc 0.9157
epoch 197, train loss 0.8733, test loss 1.042, test acc 0.9178
epoch 198, train loss 0.8735, test loss 1.048, test acc 0.9161
epoch 199, train loss 0.8733, test loss 1.045, test acc 0.9165
epoch 200, train loss 0.8731, test loss 1.04, test acc 0.9183
epoch 201, train loss 0.8736, test loss 1.048, test acc 0.9154
epoch 202, train loss 0.8735, test loss 1.044, test acc 0.9198
epoch 203, train loss 0.8736, test loss 1.045, test acc 0.9162
epoch 204, train loss 0.8733, test loss 1.047, test acc 0.9159
epoch 205, train loss 0.8726, test loss 1.045, test acc 0.9177
epoch 206, train loss 0.8732, test loss 1.043, test acc 0.9185
epoch 207, train loss 0.8731, test loss 1.042, test acc 0.9176
epoch 208, train loss 0.8734, test loss 1.048, test acc 0.9168
epoch 209, train loss 0.873, test loss 1.042, test acc 0.9184
epoch 210, train loss 0.8723, test loss 1.05, test acc 0.9136
epoch 211, train loss 0.8726, test loss 1.042, test acc 0.9194
epoch 212, train loss 0.8726, test loss 1.045, test acc 0.9164
epoch 213, train loss 0.8727, test loss 1.039, test acc 0.9198
epoch 214, train loss 0.8723, test loss 1.043, test acc 0.9198
epoch 215, train loss 0.8722, test loss 1.045, test acc 0.9168
epoch 216, train loss 0.8726, test loss 1.043, test acc 0.9165
epoch 217, train loss 0.873, test loss 1.047, test acc 0.9169
epoch 218, train loss 0.8725, test loss 1.047, test acc 0.9159
epoch 219, train loss 0.8724, test loss 1.045, test acc 0.9174
epoch 220, train loss 0.8728, test loss 1.046, test acc 0.917
epoch 221, train loss 0.8726, test loss 1.041, test acc 0.919
epoch 222, train loss 0.8733, test loss 1.041, test acc 0.9177
epoch 223, train loss 0.8736, test loss 1.046, test acc 0.9153
epoch 224, train loss 0.8719, test loss 1.045, test acc 0.9138
epoch 225, train loss 0.8723, test loss 1.044, test acc 0.9173
epoch 226, train loss 0.8726, test loss 1.047, test acc 0.9157
epoch 227, train loss 0.8723, test loss 1.051, test acc 0.9168
epoch 228, train loss 0.8723, test loss 1.053, test acc 0.9138
epoch 229, train loss 0.872, test loss 1.05, test acc 0.9161
