epoch 1, train loss 1.722, test loss 1.515, test acc 0.6348, lr 0.001
epoch 2, train loss 1.449, test loss 1.371, test acc 0.7301, lr 0.001
epoch 3, train loss 1.337, test loss 1.288, test acc 0.7752, lr 0.001
epoch 4, train loss 1.269, test loss 1.259, test acc 0.7908, lr 0.001
epoch 5, train loss 1.223, test loss 1.217, test acc 0.8141, lr 0.001
epoch 6, train loss 1.193, test loss 1.203, test acc 0.8224, lr 0.001
epoch 7, train loss 1.166, test loss 1.174, test acc 0.8351, lr 0.001
epoch 8, train loss 1.141, test loss 1.16, test acc 0.8428, lr 0.001
epoch 9, train loss 1.124, test loss 1.142, test acc 0.8564, lr 0.001
epoch 10, train loss 1.106, test loss 1.137, test acc 0.858, lr 0.001
epoch 11, train loss 1.091, test loss 1.127, test acc 0.8606, lr 0.001
epoch 12, train loss 1.077, test loss 1.121, test acc 0.862, lr 0.001
epoch 13, train loss 1.068, test loss 1.122, test acc 0.8661, lr 0.001
epoch 14, train loss 1.056, test loss 1.104, test acc 0.8757, lr 0.001
epoch 15, train loss 1.045, test loss 1.102, test acc 0.8768, lr 0.001
epoch 16, train loss 1.039, test loss 1.098, test acc 0.8787, lr 0.001
epoch 17, train loss 1.029, test loss 1.09, test acc 0.882, lr 0.001
epoch 18, train loss 1.019, test loss 1.092, test acc 0.8817, lr 0.001
epoch 19, train loss 1.014, test loss 1.082, test acc 0.8864, lr 0.001
epoch 20, train loss 1.009, test loss 1.087, test acc 0.8841, lr 0.001
epoch 21, train loss 1.002, test loss 1.076, test acc 0.889, lr 0.001
epoch 22, train loss 0.9963, test loss 1.075, test acc 0.8913, lr 0.001
epoch 23, train loss 0.9906, test loss 1.082, test acc 0.8868, lr 0.001
epoch 24, train loss 0.9841, test loss 1.074, test acc 0.8906, lr 0.001
epoch 25, train loss 0.9787, test loss 1.068, test acc 0.8958, lr 0.001
epoch 26, train loss 0.9738, test loss 1.073, test acc 0.8921, lr 0.001
epoch 27, train loss 0.9697, test loss 1.075, test acc 0.8921, lr 0.001
epoch 28, train loss 0.9655, test loss 1.07, test acc 0.8932, lr 0.001
epoch 29, train loss 0.9605, test loss 1.071, test acc 0.8953, lr 0.001
epoch 30, train loss 0.9584, test loss 1.072, test acc 0.895, lr 0.001
epoch 31, train loss 0.9579, test loss 1.061, test acc 0.9012, lr 0.001
epoch 32, train loss 0.9526, test loss 1.063, test acc 0.9001, lr 0.001
epoch 33, train loss 0.9533, test loss 1.072, test acc 0.894, lr 0.001
epoch 34, train loss 0.9451, test loss 1.054, test acc 0.9038, lr 0.001
epoch 35, train loss 0.9417, test loss 1.06, test acc 0.9014, lr 0.001
epoch 36, train loss 0.9401, test loss 1.054, test acc 0.9055, lr 0.001
epoch 37, train loss 0.9374, test loss 1.051, test acc 0.9065, lr 0.001
epoch 38, train loss 0.9359, test loss 1.054, test acc 0.9046, lr 0.001
epoch 39, train loss 0.9344, test loss 1.069, test acc 0.9001, lr 0.001
epoch 40, train loss 0.9304, test loss 1.056, test acc 0.9038, lr 0.001
epoch 41, train loss 0.9292, test loss 1.058, test acc 0.9023, lr 0.001
epoch 42, train loss 0.9278, test loss 1.056, test acc 0.9038, lr 0.001
epoch 43, train loss 0.9222, test loss 1.057, test acc 0.9034, lr 0.001
epoch 44, train loss 0.9214, test loss 1.056, test acc 0.9066, lr 0.001
epoch 45, train loss 0.9208, test loss 1.059, test acc 0.9022, lr 0.001
epoch 46, train loss 0.9187, test loss 1.05, test acc 0.9079, lr 0.001
epoch 47, train loss 0.9157, test loss 1.061, test acc 0.9038, lr 0.001
epoch 48, train loss 0.9011, test loss 1.036, test acc 0.9145, lr 0.0001
epoch 49, train loss 0.8945, test loss 1.033, test acc 0.9157, lr 0.0001
epoch 50, train loss 0.8921, test loss 1.032, test acc 0.918, lr 0.0001
epoch 51, train loss 0.8911, test loss 1.032, test acc 0.9185, lr 0.0001
epoch 52, train loss 0.8893, test loss 1.033, test acc 0.9177, lr 0.0001
epoch 53, train loss 0.8885, test loss 1.033, test acc 0.9178, lr 0.0001
epoch 54, train loss 0.8883, test loss 1.033, test acc 0.9187, lr 0.0001
epoch 55, train loss 0.8878, test loss 1.033, test acc 0.9194, lr 0.0001
epoch 56, train loss 0.887, test loss 1.032, test acc 0.9192, lr 0.0001
epoch 57, train loss 0.8859, test loss 1.033, test acc 0.9188, lr 0.0001
epoch 58, train loss 0.8867, test loss 1.033, test acc 0.9183, lr 0.0001
epoch 59, train loss 0.8851, test loss 1.033, test acc 0.9201, lr 0.0001
epoch 60, train loss 0.8838, test loss 1.033, test acc 0.9208, lr 0.0001
epoch 61, train loss 0.8831, test loss 1.032, test acc 0.9209, lr 1e-05
epoch 62, train loss 0.8832, test loss 1.032, test acc 0.921, lr 1e-05
epoch 63, train loss 0.884, test loss 1.032, test acc 0.9218, lr 1e-05
epoch 64, train loss 0.8834, test loss 1.032, test acc 0.9215, lr 1e-05
epoch 65, train loss 0.8843, test loss 1.032, test acc 0.9216, lr 1e-05
epoch 66, train loss 0.883, test loss 1.032, test acc 0.9215, lr 1e-05
epoch 67, train loss 0.8841, test loss 1.032, test acc 0.9209, lr 1e-05
epoch 68, train loss 0.8838, test loss 1.032, test acc 0.9207, lr 1e-05
